Name,Author,User. Rating,User. Reviews,Info. Year,Info. Genre,Price
10-Day Green Smoothie Cleanse,JJ Smith,4.7,17350,2016,Non Fiction,8
11/22/63: A Novel,Stephen King,4.6,2052,2011,Fiction,22
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,4.7,18979,2018,Non Fiction,15
1984 (Signet Classics),George Orwell,4.7,21424,2017,Fiction,6
"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",National Geographic Kids,4.8,7665,2019,Non Fiction,12
A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin,4.4,12643,2011,Fiction,11
A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R. R. Martin,4.7,19735,2014,Fiction,30
A Gentleman in Moscow: A Novel,Amor Towles,4.7,19699,2017,Fiction,15
"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,4.7,5983,2018,Non Fiction,3
A Man Called Ove: A Novel,Fredrik Backman,4.6,23848,2017,Fiction,8
A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Larry Schweikart,4.6,460,2010,Non Fiction,2
A Stolen Life: A Memoir,Jaycee Dugard,4.6,4149,2011,Non Fiction,32
A Wrinkle in Time (Time Quintet),Madeleine L'Engle,4.5,5153,2018,Fiction,5
"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Steve Harvey,4.6,5013,2009,Non Fiction,17
"Adult Coloring Book Designs: Stress Relief Coloring Book: Garden Designs, Mandalas, Animals, and Paisley Patterns",Adult Coloring Book Designs,4.5,2313,2016,Non Fiction,4
Adult Coloring Book: Stress Relieving Animal Designs,Blue Star Coloring,4.6,2925,2015,Non Fiction,6
"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley…",Coloring Books for Adults,4.5,2426,2015,Non Fiction,8
Alexander Hamilton,Ron Chernow,4.8,9198,2016,Non Fiction,13
All the Light We Cannot See,Anthony Doerr,4.6,36348,2014,Fiction,14
Allegiant,Veronica Roth,3.9,6310,2013,Fiction,13
American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Chris Kyle,4.6,15921,2015,Non Fiction,9
And the Mountains Echoed,Khaled Hosseini,4.3,12159,2013,Fiction,13
Arguing with Idiots: How to Stop Small Minds and Big Government,Glenn Beck,4.6,798,2009,Non Fiction,5
Astrophysics for People in a Hurry,Neil deGrasse Tyson,4.7,9374,2017,Non Fiction,9
"Autobiography of Mark Twain, Vol. 1",Mark Twain,4.2,491,2010,Non Fiction,14
Baby Touch and Feel: Animals,DK,4.6,5360,2015,Non Fiction,5
Balance (Angie's Extreme Stress Menders),Angie Grace,4.6,1909,2015,Non Fiction,11
Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,Ina Garten,4.8,1296,2012,Non Fiction,24
"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",Ina Garten,4.7,615,2010,Non Fiction,21
Becoming,Michelle Obama,4.8,61133,2018,Non Fiction,11
Being Mortal: Medicine and What Matters in the End,Atul Gawande,4.8,11113,2015,Non Fiction,15
Between the World and Me,Ta-Nehisi Coates,4.7,10070,2015,Non Fiction,13
Born to Run,Bruce Springsteen,4.7,3729,2016,Non Fiction,18
"Breaking Dawn (The Twilight Saga, Book 4)",Stephenie Meyer,4.6,9769,2009,Fiction,13
"Broke: The Plan to Restore Our Trust, Truth and Treasure",Glenn Beck,4.5,471,2010,Non Fiction,8
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9,14344,2017,Fiction,5
"Cabin Fever (Diary of a Wimpy Kid, Book 6)",Jeff Kinney,4.8,4505,2011,Fiction,0
Calm the F*ck Down: An Irreverent Adult Coloring Book (Irreverent Book Series),Sasha O'Hara,4.6,10369,2016,Non Fiction,4
Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,4.8,16244,2019,Non Fiction,18
Capital in the Twenty First Century,Thomas Piketty,4.5,2884,2014,Non Fiction,28
Catching Fire (The Hunger Games),Suzanne Collins,4.7,22614,2010,Fiction,11
Cravings: Recipes for All the Food You Want to Eat: A Cookbook,Chrissy Teigen,4.7,4761,2016,Non Fiction,16
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1542,2009,Non Fiction,14
Crazy Rich Asians (Crazy Rich Asians Trilogy),Kevin Kwan,4.3,6143,2018,Fiction,8
Creative Haven Creative Cats Coloring Book (Adult Coloring),Marjorie Sarnat,4.8,4022,2015,Non Fiction,4
Creative Haven Owls Coloring Book (Adult Coloring),Marjorie Sarnat,4.8,3871,2015,Non Fiction,5
